Titre sans typo	site :titre	num:volume	site:promotion	num:pp	ordre	identifiant	path	Auteur principal et sa Fonction	site :nom	site :prenom	Noter ici tout ce qui peut servir au prestataire	Autorité IdRef Forme retenue	IdRef ou ARK	num:ordre	num:id	site :id	Date d'édition	Promotion	TOME	COTE Thèse AN AB XXVIII 	ppn thèse (NC=non catalogué)	Lieu	Début-Fin de période	Dimensions en cm	Cote Thèse BENC	Renseigner : contribue au constat d'état	site :tri	site :sexe	site :notBefore	site :notAfter	site :professeur	site :lodel
Règlement de la société de l'École royale des chartes fondée le 24 mars 1939		1-1847-1865		1-10		ENC_1-1847-1865_PREV1	ENCPOS/1-1847-1865/PREV1/										1843				NC											
Ecole royale des chartes : Séance d'inauguration (5 mai 1847)		1-1847-1865		1-48		ENC_1-1847-1865_PREV2	ENCPOS/1-1847-1865/PREV2/										1847				NC											
Ordonnance du roi portant réorganisation de l’'École royale des chartes		1-1847-1865		49-56		ENC_1-1847-1865_PREV3	ENCPOS/1-1847-1865/PREV3/										1846				NC											
Discours prononcé par M. Letronne, directeur de l'École royale des chartes, à la séance d’inauguration de l'École, présidée par S.E.M. le ministre de l’instruction publique. Le 5 mai 1847		1-1847-1865		1-12		ENC_1-1847-1865_PREV4	ENCPOS/1-1847-1865/PREV4/										1847				NC											
Requête présentée par la société de l'École impériale des chartes à l’effet d’être reconnue comme établissement d’utilité publique		1-1847-1865		1-30		ENC_1-1847-1865_PREV5	ENCPOS/1-1847-1865/PREV5/										1854				NC											
 Cours d’histoire de la littérature provençale		1-1847-1865		1-30		ENC_1-1847-1865_PREV6	ENCPOS/1-1847-1865/PREV6/										NEANT				NC											
A M. Arthur Giry / Simon Luce. Discours prononcé au banquet de la Société des anciens élèves de l’Ecole des chartes, 28 mai 1879		1-1847-1865		0-8		ENC_1-1847-1865_PREV7	ENCPOS/1-1847-1865/PREV7/				Dédicace en page de garde à conserver						1879				NC											
Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du xiie siècle	Recherches sur l’origine et la nature des insurrections des habitants de Vézelay contre leurs abbés, pendant la première moitié du <abbr>xii<sup>e</sup></abbr> siècle	1-1847-1865	1849	1-2	01	ENCPOS_1849_01	ENCPOS/1849/ENCPOS_1849_01/	Bastard, de, Léon	Bastard, De	Léon		Bastard d'Estang, Léon de (1822-1860 ; Cte)	https://www.idref.fr/87486342			184901		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	1	NC		1100-1150			bon état	bastard	1	1100	1150		
Marguilliers laïques des églises de Paris	Marguilliers laïques des églises de Paris	1-1847-1865	1849	3	02	ENCPOS_1849_02	ENCPOS/1849/ENCPOS_1849_02/	Boisserand, Dominique-Claude 	Boisserand	Dominique-Claude		Boisserand, Dominique-Claude	ABSENT			184902		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		500-1789			bon état	boisserand	1	500	1789		
Hugues-Capet dans l’histoire et le roman	Hugues_Capet dans l’histoire et le roman	1-1847-1865	1849	5-6	03	ENCPOS_1849_03	ENCPOS/1849/ENCPOS_1849_03/	Chatel, Eugène 	Chatel	Eugène		Chatel, Eugène (1820-1910)	https://www.idref.fr/083072373			184903		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	ABSENTE	NC		940-1849			bon état	chatel	1	940	1849		
Essai sur les revenus publics en Normandie au xiie siècle	Essai sur les revenus publics en Normandie au <abbr>xii<sup>e</sup></abbr> siècle	1-1847-1865	1849	7-8	04	ENCPOS_1849_04	ENCPOS/1849/ENCPOS_1849_04/	Delisle, Léopold 	Delisle	Léopold		Delisle, Léopold (1826-1910) 	https://www.idref.fr/26820897			184904		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	2	NC		1100-1199			bon état	delisle	1	1100	1199		
De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les xie, xiie et xiiie siècles	De l’ost et de la chevauchée, ou du service militaire des fiefs nobles en France pendant les <abbr>xi<sup>e</sup></abbr>, <abbr>xii<sup>e</sup></abbr> et <abbr>xiii<sup>e</sup></abbr> siècles	1-1847-1865	1849	9-10	05	ENCPOS_1849_05	ENCPOS/1849/ENCPOS_1849_05/	Duplès-Agier, Henri 	Duplès-Agier	Henri		Duplès-Agier, Henri (1825-1891)	https://www.idref.fr/073413593			184905		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	3	NC		1000-1299			bon état	duplesagier	1	1000	1299		
De l’état civil et religieux des lépreux en France	De l’état civil et religieux des lépreux en France	1-1847-1865	1849	11-12	06	ENCPOS_1849_06	ENCPOS/1849/ENCPOS_1849_06/	Gossin,  Léon 	Gossin	Léon			ABSENT			184906		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	4	NC		500-1789			bon état	gossin	1	500	1789		
Le roman de l’Image du monde	Le roman de l’<i>Image_du_monde</i>	1-1847-1865	1849	13	07	ENCPOS_1849_07	ENCPOS/1849/ENCPOS_1849_07/	Héron de Villefosse, Étienne 	Héron De Villefosse	Étienne		"Héron de Villefosse, Étienne
"	https://www.idref.fr/203033477			184907		1849	Non spécifié. Marqué d’une page de garde bleue séparatrice du début du volume	5	NC		1246-1399			bon état	herondevillefosse	1	1246	1399		
