"id","promotion","tri","nom","prenom","sexe","titre","notBefore","notAfter","authorKey","authorRef","ppn_position","ppn_these","an_these"
"201501","2015","arnould","Arnould","Laurine","2","« Je rêve à toi presque chaque nuit et je ne suis jamais en prison ». Lettres clandestines de prison de Paul Nothomb à sa femme (1945-1947)","1945","1947","201501_arnould","183658124","","183657810",""
"201502","2015","buffenoir","Buffenoir","Aude","2","Une science naturelle de Dieu ? Édition de la Theologia naturalis de Nicolas Bonet († 1343). Histoire et enjeux de la théologie naturelle en sa première figure","1300","1343","201502_buffenoir","18370052X","","183700325",""
"201503","2015","bur","Bur","Gabriel","1","Dieu, le roi et la France. Prier pour le roi sous Philippe le Bel (1285-1314)","1285","1314","201503_bur","184146828","","184146720",""
"201504","2015","chevauche","Chevauché","Sylvain","1","Confiscations en Catalogne française (1642-1652). La faveur royale loin du roi","1642","1652","201504_chevauche","183661729","","183660250",""
"201505","2015","dandine","Dandine","Charles","1","Un recueil d'exempla franciscain méridional du <abbr>xiii</abbr><sup>e</sup> siècle. Édition critique du manuscrit BNF, lat. 3555","1200","1299","201505_dandine","184193885","","184193702",""
"201506","2015","delalande","Delalande","Flora","2","Les activités à caractère culturel dans les établissements pénitentiaires français (de la Libération aux années 1980)","1945","1980","201506_delalande","18419590X","","184195527",""
"201507","2015","faltot","Faltot","Fanny","2","Les Mémoires de Philippe de Vigneulles (1471-1522). Édition critique du manuscrit BNF, nouv. acq. fr. 6720","1471","1522","201507_faltot","183654013","","183653882",""
"201508","2015","feeser","Feeser","Romain","1","Thomas d’Aquin contre Grégoire Palamas. La Réfutation de la profession de foi des Athonites de Prochoros Kydonès. Édition, traduction et commentaire","1367","1368","201508_feeser","183698126","","183697987",""
"201509","2015","fissier","Fissier","Émilie","2","Le ballet de l’Opéra de Paris sous le Second Empire","1852","1870","201509_fissier","183658817","","183658566",""
"201510","2015","frantzwa","Frantzwa","Guillaume","1","Vivre hors du cloître. L'habitat canonial à Metz au Bas Moyen Âge (1200-1530)","1200","1530","201510_frantzwa","183701909","","183701623",""
"201511","2015","horrein","Horrein","Florian","1","L’hydraulique à Paris à l’époque moderne. Adductions et distribution d’eau dans la ville (v. 1612 – v. 1733)","1612","1733","201511_horrein","183589513","","183589327",""
"201512","2015","jacquemard","Jacquemard","Hélène","2","L’abbaye cistercienne de Vauclair et sa bibliothèque. Lire et écrire dans une abbaye cistercienne du Moyen Âge au <abbr>xviii</abbr><sup>e</sup> siècle","1134","1799","201512_jacquemard","183583086","","183582993",""
"201513","2015","jolly","Jolly","Anne","2","Financer le service des Ponts-et-Chaussées. La gestion du trésorier général Gabriel Prévost (1748-1778)","1748","1778","201513_jolly","183653300","","183651251",""
"201514","2015","landais","Landais","Anne","2","Édition critique du Trialogue Quiéret (1461)","1461","1461","201514_landais","184096154","","184096065",""
"201515","2015","leberre","leberre","Gilles","1","Das ist der stat Strassburg ordenunge irs fussvolckes. L’organisation d’une armée communale au <abbr>xv</abbr><sup>e</sup> siècle : l’exemple de Strasbourg","1400","1499","201515_leberre","184147980","","184147921",""
"201516","2015","lemoullecrieu","Le Moullec-Rieu","Aude","2","Maximilien Rubel, éditeur de Marx dans la Bibliothèque de la Pléiade (1955-1968)","1955","1968","201516_lemoullecrieu","184094879","","18409447X",""
"201517","2015","morel","Morel","Thomas","1","Quand un prélat monte à la capitale. Tristan de Salazar et l’hôtel parisien des archevêques de Sens","1483","1519","201517_morel","183587219","","183584597",""
"201518","2015","naddeo","Naddeo","Étienne","1","Les bibliothèques populaires du département de la Seine (1861-1945)","1861","1945","201518_naddeo","18368429X","","183681134",""
"201519","2015","noual","Noual","Clément","1","À l’enseigne de La Cloche d’or. Les Le Guay, une dynastie de fondeurs de cloches à Paris sous l’Ancien Régime","1650","1741","201519_noual","183606183","","183604997",""
"201520","2015","paris","Paris","Louis","1","Souvenirs et impressions du siège de Paris. Édition critique et commentaire","1870","1871","201520_paris","184197287","","184197155",""
"201521","2015","pauplin","Pauplin","Pascale","2","Éclat des églises de Beauvais à la Renaissance. Décor et mobilier (1515-1574)","1515","1574","201521_pauplin","183582411","","183582152",""
"201522","2015","pinoteau","Pinoteau","Henri","1","Les chasses royales sous Louis XVI et leur sort durant la Révolution : splendeur et ruine du monde des plaisirs de Sa Majesté (1774-1799)","1774","1799","201522_pinoteau","183657098","","183656881",""
"201523","2015","prevost","Prévost","Xavier","1","Les premières lois imprimées. Étude des actes royaux imprimés de Charles VIII à Henri II (1483-1559)","1483","1559","201523_prevost","119537249","","184149126",""
"201524","2015","talarmin","Talarmin","Marguerite","2","Partition pour flûtes sur fond de mer. L'intégration des flûtes hollandaises dans la marine française, 1595-1815","1595","1815","201524_talarmin","184198364","","184198194",""
"201525","2015","tarfaoui","Tarfaoui","Nadia","2","Le Libellus de notitia orbis de Jean, Archevêque de Sultanieh","1404","1404","201525_tarfaoui","183701135","","18370097X",""
"201526","2015","vanriest","Vanriest","Élise","2","Verre et verriers à Paris dans la seconde moitié du <abbr>xvi</abbr><sup>e</sup> siècle (1547-1610)","1547","1610","201526_vanriest","184199328","","184199220",""
"201527","2015","vaysse","Vaysse","Élodie","2","Les Elle « Ferdinand », la peinture en héritage. Un atelier parisien au Grand Siècle (1601-1717)","1601","1717","201527_vaysse","184192439","","184192226",""
"201401","2014","besombes","Besombes","Chloé","2","« Et dixit quod sic ». Communautés et pouvoir royal dans le Lauragais de la fin du <abbr>xiii</abbr><sup>e</sup> siècle. Proposition d'étude de l'affaire Breuilly-Latilly","1285","1314","201401_besombes","176248927","","176248781",""
"201402","2014","bouchard","Bouchard","Ariane","2"," La mémoire du prince : la Chronique anonyme d'Alençon. Édition et commentaire","1300","1520","201402_bouchard","176300813","","176300678",""
"201403","2014","caille","Caillé","Alice","2","Au seuil du livre : les reliures de Rose Adler (1922-1959)","1922","1959","201403_caille","176289836","","176289577",""
"201404","2014","coulaud","Coulaud","Hélène","2","De la matérialité à la sacralité : le trésor de la cathédrale de Narbonne sous l'Ancien Régime","1500","1793","201404_coulaud","176417966","","176417656",""
"201405","2014","degoutte","Degoutte","Margot","2","La France à Venise : entre modernités et traditions, participation et représentation françaises à la Biennale de Venise (1895-1940)","1895","1940","201405_degoutte","176245898","","176245448",""
"201406","2014","foulet","Foulet","Amélie","2","La France et la fortune de la mer du Sud : contacts, flux et échanges commerciaux dans le Pacifique espagnol (1695-1725)","1695","1725","201406_foulet","176417311","","176417060",""
"201407","2014","fritz","Fritz","Viviane","2","Michel Villedo et Cie : entreprise et expertise à Paris au <abbr>xvii</abbr><sup>e</sup> siècle","1621","1667","201407_fritz","176303634","","176303464",""
"201408","2014","gaudron","Gaudron","Amandine","2","Le singe médiéval, histoire d'un animal ambigu : savoirs, symboles et représentations","400","1500","201408_gaudron","177828676","","177828609",""
"201409","2014","girard","Girard","Maximilien","1","Marguerite de Hongrie : une princesse de son temps, entre Orient et Occident (v. 1176-ap. 1229)","1176","1229","201409_girard","176290672","","176290583",""
"201410","2014","gdelinares","Gonzalez de Linares-Cêtre","Léonore","2","Les relations diplomatiques entre la France et la Savoie (1559-1580)","1559","1580","201410_gdelinares","176331301","","176331271",""
"201411","2014","haraux","Haraux","Geoffrey","1","Communauté et identité individuelle dans la France préindustrielle : Villedieu-les-Poêles, bourg industriel normand (1680-1740)","1680","1740","201411_haraux","176415521","","176415300",""
"201412","2014","lecoz","Le Coz","Laura","2","L'Institut de psychologie de l'université de Paris (1920-1970)","1920","1970","201412_lecoz","176298800","","176298576",""
"201413","2014","lhuillier","L'Huillier","Iseut","2","La Nativité de saint Jean Baptiste : culte et iconographie en France (<abbr>xiii</abbr><sup>e</sup>-<abbr>xv</abbr><sup>e</sup> siècle)","1200","1500","201413_lhuillier","176418903","","176418431",""
"201414","2014","mallet","Mallet","Jeanne","2","Rapporter, discuter, diffuser : information et opinion à Saint-Affrique en Rouergue à la fin du Moyen Âge (c. 1380-c. 1480)","1380","1480","201414_mallet","176298010","","176297960",""
"201415","2014","peresan","Pérésan-Roudil","Alice","2","Eustache-Antoine Hua (1759-1836) : mémoires et papiers privés d'un magistrat et député","1759","1836","201415_peresan","176295100","","176294872",""
